date,state,pincode,total_updates,surge_multiplier,ASI,district
2025-01-03,rajasthan,326039,4536.0,42.57822277847309,4536.0,jhalawar
2025-01-07,telangana,502032,2809.0,42.487728310502284,2809.0,"medak, sangareddy"
2025-01-07,manipur,795101,792.0,42.16432045047351,792.0,"chandel, churachandpur, thoubal, kakching, bishnupur"
2025-01-03,assam,787058,852.0,41.89056304520222,852.0,"dhemaji, lakhimpur"
2025-01-07,manipur,795103,3884.0,41.83495360141406,3884.0,"chandel, kakching, thoubal, bishnupur, churachandpur"
2025-07-01,assam,783135,2615.0,41.828919491525426,2615.0,"dhubri, southsalmaramankachar"
2025-01-03,telangana,509320,838.0,41.68062827225131,838.0,"mahabubnagar, nagarkurnool, rangareddy, kvrangareddy"
2025-01-07,telangana,500005,3740.0,41.59826738124954,3740.0,"hyderabad, rangareddy, kvrangareddy"
2025-01-03,uttarpradesh,273165,3493.0,41.32330572925469,3493.0,"gorakhpur, maharajganj, mahrajganj"
2025-01-03,jharkhand,814166,1419.0,41.292870505092495,1419.0,"dumka, jamtara, pakur"
2025-01-06,chhatisgarh,496118,4789.0,41.18241427496507,4789.0,"jashpur, raigarh, kanker, raigad"
2025-01-04,delhi,110053,11871.0,41.107581660173814,11871.0,"eastdelhi, northeastdelhi, shahdara"
2025-01-07,manipur,795132,3382.0,41.10622271676796,3382.0,"imphalwest, thoubal, kakching"
2025-01-03,uttarpradesh,271845,3690.0,40.696391996218686,3690.0,"bahraich, shrawasti"
2025-01-03,rajasthan,305925,981.0,40.67287942183339,981.0,"ajmer, rajsamand"
2025-01-07,chhatisgarh,494661,8257.0,40.58676997417312,8257.0,"narayanpur, kanker, gariyaband, kondagaon"
2025-01-03,mizoram,796310,1391.0,40.51456310679611,1391.0,"champhai, serchhip, khawzawl"
2025-01-03,telangana,509371,1052.0,40.40020212228398,1052.0,"mahabubnagar, rangareddy, narayanpet, nagarkurnool, kvrangareddy"
2025-01-03,rajasthan,314024,1496.0,40.38565368299267,1496.0,dungarpur
2025-01-03,rajasthan,327027,3783.0,40.09969516419565,3783.0,"banswara, pratapgarh"
2025-01-03,mizoram,796181,3033.0,40.09324758842444,3033.0,"lunglei, serchhip"
2025-01-03,rajasthan,313204,1204.0,39.915217391304346,1204.0,"rajsamand, udaipur"
2025-01-03,jharkhand,825321,3329.0,39.908705274806344,3329.0,"chatra, hazaribagh"
2025-01-04,delhi,110093,12602.0,39.9028559602649,12602.0,"northeastdelhi, shahdara, eastdelhi"
2025-01-03,jharkhand,835213,2203.0,39.867483946293056,2203.0,"lohardaga, ranchi"
2025-03-01,telangana,508252,2343.0,39.768665967388195,2343.0,"nalgonda, yadadribhuvanagiri"
2025-07-01,telangana,509325,1257.0,39.723292739324805,1257.0,"mahabubnagar, rangareddy, kvrangareddy"
2025-01-03,tamilnadu,621851,1501.0,39.533026755852845,1501.0,ariyalur
2025-01-03,rajasthan,313708,2390.0,39.494806421152035,2390.0,"udaipur, rajsamand"
2025-01-03,bihar,824233,3066.0,39.388319119075895,3066.0,"gaya, jehanabad"
2025-01-03,mizoram,796441,2479.0,39.299958281184814,2479.0,"aizawl, mamit"
2025-01-03,rajasthan,313206,603.0,39.28206850235057,603.0,"udaipur, rajsamand"
2025-01-07,telangana,501218,1191.0,39.26071922544951,1191.0,"rangareddy, kvrangareddy"
2025-01-03,uttarpradesh,273155,2690.0,39.1262636682484,2690.0,"gorakhpur, maharajganj, mahrajganj"
2025-01-03,jharkhand,835302,8127.0,39.09146212067624,8127.0,"gumla, lohardaga, ranchi"
2025-01-06,telangana,500055,2558.0,39.0741612441737,2558.0,"hyderabad, medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-03,jharkhand,825418,2523.0,38.865211810012845,2523.0,"giridih, koderma"
2025-01-04,jammuandkashmir,182144,1360.0,38.78901227352426,1360.0,"ramban, reasi, doda, udhampur"
2025-01-03,tamilnadu,606104,1235.0,38.75134321942833,1235.0,"cuddalore, viluppuram, kallakurichi"
2025-01-04,delhi,110094,30135.0,38.75042579282624,30135.0,"northeastdelhi, northwestdelhi, eastdelhi"
2025-01-03,bihar,848203,4471.0,38.69980327868853,4471.0,"begusarai, khagaria"
2025-01-07,telangana,509216,1698.0,38.54098553451723,1698.0,"mahabubnagar, rangareddy, kvrangareddy"
2025-01-06,chhatisgarh,493558,19505.0,38.540681823866336,19505.0,mahasamund
2025-01-06,chhatisgarh,493449,18117.0,38.507439202804534,18117.0,mahasamund
2025-01-03,rajasthan,314037,2282.0,38.50574173892665,2282.0,dungarpur
2025-01-07,rajasthan,321024,3835.0,38.433205909701414,3835.0,"bharatpur, deeg"
2025-01-03,karnataka,583134,942.0,38.328638497652584,942.0,"ballari, davanagere, vijayanagara"
2025-01-03,rajasthan,311604,4105.0,38.29476617397625,4105.0,bhilwara
2025-01-07,madhyapradesh,485771,3617.0,38.2289447403462,3617.0,"satna, maihar"
2025-01-03,andhrapradesh,515122,953.0,38.19274809160305,953.0,"ananthapuram, srisathyasai"
2025-01-07,telangana,509235,824.0,38.16956765861875,824.0,"mahabubnagar, nagarkurnool, wanaparthy"
2025-01-03,rajasthan,313325,1696.0,37.88981975120589,1696.0,"rajsamand, udaipur"
2025-01-03,jharkhand,828307,661.0,37.713703515028016,661.0,"dhanbad, bokaro"
2025-01-07,manipur,795010,4042.0,37.67509986684421,4042.0,"imphaleast, senapati, ukhrul"
2025-01-06,chhatisgarh,494347,2210.0,37.547193556506414,2210.0,"kondagaon, dhamtari, gariyaband"
2025-01-04,jammuandkashmir,191131,1257.0,37.51390458964504,1257.0,"ganderbal, srinagar"
2025-01-03,rajasthan,314404,3406.0,37.51101321585903,3406.0,dungarpur
2025-01-03,bihar,852112,4252.0,37.48835927813749,4252.0,"madhepura, supaul"
2025-01-07,chhatisgarh,494441,1768.0,37.48274743104381,1768.0,"bijapur, dantewada, bastar, vijayapura"
2025-01-03,bihar,841420,1070.0,37.39475774424146,1070.0,"gopalganj, siwan"
2025-03-01,jharkhand,814145,2752.0,37.36567360928025,2752.0,"dumka, godda"
2025-01-03,rajasthan,327801,10423.0,37.29700193423597,10423.0,banswara
2025-01-03,rajasthan,325602,2590.0,37.288542291541695,2590.0,"kota, baran"
2025-01-07,punjab,148023,4059.0,37.27543604651163,4059.0,"malerkotla, sangrur"
2025-01-07,chhatisgarh,494552,3494.0,37.18861386138614,3494.0,dantewada
2025-01-03,tamilnadu,606204,682.0,37.17154331612163,682.0,"cuddalore, kallakurichi, viluppuram"
2025-03-01,rajasthan,327031,5709.0,37.15184381778742,5709.0,banswara
2025-01-03,telangana,500088,444.0,37.10375771172182,444.0,"rangareddy, hyderabad, kvrangareddy"
2025-01-03,mizoram,796321,4720.0,37.08424268878219,4720.0,champhai
2025-01-03,odisha,755019,1824.0,37.06166219839142,1824.0,"jajpur, keonjhar"
2025-01-03,rajasthan,322220,1275.0,37.05290611028316,1275.0,"karauli, sawaimadhopur"
2025-01-03,rajasthan,313329,1514.0,37.007661437431594,1514.0,rajsamand
2025-06-01,chhatisgarh,493445,13608.0,36.99516420064958,13608.0,"mahasamund, gariyaband, balod, raipur, balodabazar"
2025-01-07,westbengal,731221,2155.0,36.79452695591159,2155.0,"birbhum, murshidabad"
2025-01-03,rajasthan,314401,2055.0,36.78257042253521,2055.0,dungarpur
2025-01-03,jharkhand,831002,6707.0,36.695654677916316,6707.0,"eastsinghbhum, seraikelakharsawan, westsinghbhum"
2025-01-03,telangana,500032,845.0,36.66930630345265,845.0,"rangareddy, hyderabad, kvrangareddy"
2025-01-03,assam,784522,878.0,36.64205457463885,878.0,"udalguri, darrang"
2025-01-03,telangana,500037,1233.0,36.588353413654616,1233.0,"medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-03,jharkhand,825109,1788.0,36.4337752965806,1788.0,"hazaribagh, koderma"
2025-01-03,meghalaya,794002,1128.0,36.395666509656145,1128.0,"northgarohills, westgarohills, eastgarohills"
2025-01-03,rajasthan,326516,1872.0,36.380680194341245,1872.0,jhalawar
2025-07-01,telangana,500055,2381.0,36.37043702985832,2381.0,"hyderabad, medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-03,bihar,804421,1765.0,36.34456985967053,1765.0,"arwal, jehanabad, gaya"
2025-01-07,chhatisgarh,495449,3371.0,36.30586968228325,3371.0,"bilaspur, korba, gariyaband"
2025-01-03,bihar,843327,3415.0,36.27083640654964,3415.0,"sheohar, sitamarhi"
2025-01-05,tamilnadu,614019,981.0,36.25565058032987,981.0,"thanjavur, thiruvarur"
2025-01-03,uttarpradesh,202522,4687.0,36.151472880938705,4687.0,"sambhal, budaun"
2025-03-01,telangana,500090,1921.0,36.10245528948166,1921.0,"medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-07,uttarpradesh,208001,10414.0,36.09791073124406,6.273493975903614,"kanpurdehat, kanpurnagar"
2025-01-06,telangana,502032,2385.0,36.074486301369866,2385.0,"medak, sangareddy"
2025-01-03,rajasthan,327604,2296.0,36.05750940057509,2296.0,banswara
2025-01-03,andhrapradesh,531114,1362.0,35.996312231100184,1362.0,"anakapalli, visakhapatnam, allurisitharamaraju"
2025-01-03,bihar,802134,1353.0,35.944822888283376,1353.0,"bhojpur, buxar"
2025-01-05,karnataka,560087,1027.0,35.84811320754717,6.186746987951807,"bengalururural, bengaluruurban"
2025-03-01,rajasthan,326512,3091.0,35.65530110262935,3091.0,"jhalawar, kota"
2025-01-03,rajasthan,311603,3063.0,35.65497439081173,3063.0,bhilwara
2025-01-07,madhyapradesh,483225,2648.0,35.590021272481145,2648.0,"jabalpur, katni"
2025-06-01,chhatisgarh,497220,5091.0,35.58162462392965,5091.0,"balrampur, surguja, surajpur"
2025-01-03,gujarat,360490,1247.0,35.51357509018416,1247.0,"rajkot, porbandar, jamnagar, junagadh"
2025-03-01,meghalaya,793106,825.0,35.50018389113645,825.0,"eastkhasihills, southwestkhasihills, westkhasihills, eastgarohills"
2025-01-03,uttarpradesh,271835,2198.0,35.464712403005294,2198.0,"bahraich, shrawasti"
2025-01-03,ladakh,194105,418.0,35.413888888888884,418.0,kargil
2025-01-03,delhi,110053,10222.0,35.397329604102154,10222.0,"eastdelhi, northeastdelhi, shahdara"
2025-01-03,telangana,508126,851.0,35.36623376623377,851.0,"nalgonda, yadadribhuvanagiri"
2025-01-03,tamilnadu,600100,1928.0,35.34781060875756,1928.0,"chengalpattu, chennai, kancheepuram"
2025-01-07,punjab,152022,1597.0,35.31604580755562,1597.0,"fazilka, ferozepur, srimuktsarsahib"
2025-01-03,rajasthan,313706,2701.0,35.29820095044128,2701.0,"udaipur, pratapgarh"
2025-01-03,rajasthan,314034,3019.0,35.17386628428034,3019.0,dungarpur
2025-01-03,meghalaya,794110,789.0,35.172289156626505,789.0,"eastgarohills, northgarohills"
2025-01-03,bihar,847107,1516.0,35.156711173576944,1516.0,"darbhanga, muzaffarpur"
2025-01-03,andhrapradesh,531030,1211.0,35.045016077170416,1211.0,"anakapalli, visakhapatnam, allurisitharamaraju"
2025-01-03,jharkhand,814151,4224.0,34.99779054352629,4224.0,"dumka, deoghar"
2025-01-03,bihar,841436,2578.0,34.93974258970359,2578.0,"gopalganj, siwan"
2025-01-03,sikkim,737121,1054.0,34.86372056099497,1054.0,"southsikkim, westsikkim, namchi"
2025-01-07,manipur,795138,4328.0,34.8153515505066,4328.0,"imphaleast, thoubal, senapati"
2025-01-03,uttarpradesh,227815,959.0,34.742533185840706,959.0,"amethi, sultanpur"
2025-01-03,tamilnadu,627751,2235.0,34.73684210526316,2235.0,"tenkasi, tirunelveli"
2025-01-03,bihar,813108,2047.0,34.6595798854233,2047.0,"banka, bhagalpur"
2025-01-03,telangana,500050,771.0,34.64357594196115,771.0,"hyderabad, rangareddy, kvrangareddy"
2025-01-03,assam,783380,2400.0,34.64257659073056,2400.0,"bongaigaon, chirang"
2025-01-07,assam,783330,2499.0,34.54513823584728,2499.0,"dhubri, goalpara"
2025-01-03,rajasthan,321022,3465.0,34.51750855302878,3465.0,"bharatpur, deeg"
2025-01-07,punjab,145023,1382.0,34.51575817641229,1382.0,"gurdaspur, pathankot"
2025-03-01,rajasthan,311806,1826.0,34.512027491408936,1826.0,bhilwara
2025-01-03,bihar,854304,6465.0,34.477373152521714,6465.0,"araria, purnia, madhepura, katihar"
2025-01-03,jammuandkashmir,191201,1025.0,34.474311440677965,1025.0,"ganderbal, srinagar"
2025-01-03,bihar,804423,950.0,34.467120181405896,950.0,"arwal, jehanabad, patna"
2025-01-03,tamilnadu,627755,588.0,34.44639718804921,588.0,"tirunelveli, tenkasi"
2025-01-03,tamilnadu,606107,877.0,34.43829268292683,877.0,"cuddalore, kallakurichi, viluppuram"
2025-01-07,telangana,500089,1981.0,34.41185166933596,1981.0,"rangareddy, kvrangareddy, hyderabad"
2025-01-03,rajasthan,314036,2439.0,34.4035050224407,2439.0,"dungarpur, banswara"
2025-01-03,bihar,851204,4436.0,34.38212029516377,4436.0,"begusarai, khagaria"
2025-01-03,madhyapradesh,472246,1597.0,34.364778791530384,1597.0,"niwari, tikamgarh"
2025-01-03,rajasthan,312614,692.0,34.33721518987342,692.0,"chittorgarh, pratapgarh"
2025-01-03,uttarpradesh,229305,1041.0,34.31313620940378,1041.0,"amethi, raebareli"
2025-01-03,uttarpradesh,204216,1760.0,34.28401486988848,1760.0,"aligarh, hathras"
2025-01-03,tamilnadu,627758,971.0,34.25873400207541,971.0,"tenkasi, tirunelveli"
2025-01-03,uttarpradesh,271803,1569.0,34.24404761904762,1569.0,"bahraich, shrawasti"
2025-01-03,bihar,804452,3367.0,34.17591112531969,3367.0,"jehanabad, patna"
2025-01-07,manipur,795133,4858.0,34.08216848259368,4858.0,"bishnupur, churachandpur"
2025-01-03,jharkhand,825412,8628.0,34.07941858015589,8628.0,giridih
2025-01-05,karnataka,583136,1264.0,34.054304356977475,1264.0,"ballari, vijayanagara, davanagere"
2025-01-03,telangana,500008,3008.0,34.04671218109953,3008.0,"hyderabad, rangareddy, kvrangareddy"
2025-01-03,jharkhand,825324,3856.0,33.90567545963229,3856.0,giridih
2025-01-07,manipur,795132,2788.0,33.8865017546863,2788.0,"imphalwest, thoubal, kakching"
2025-01-03,tamilnadu,636113,1242.0,33.78799249530957,1242.0,"salem, namakkal"
2025-01-07,maharashtra,401208,4303.0,33.77805258347223,5.2668298653610774,"palghar, thane"
2025-01-03,odisha,754004,1244.0,33.77107477377361,1244.0,"cuttack, khordha, puri"
2025-01-03,uttarpradesh,207401,1468.0,33.73393778333594,1468.0,"etah, kasganj"
2025-03-01,meghalaya,793119,2025.0,33.68761552680222,2025.0,"southwestkhasihills, westkhasihills, easternwestkhasihills, eastkhasihills"
2025-01-03,karnataka,581118,2995.0,33.65635405105438,2995.0,"haveri, gadag"
2025-01-03,meghalaya,793150,2225.0,33.550376970527765,2225.0,"westjaintiahills, eastjaintiahills, eastgarohills"
2025-01-03,jharkhand,825318,2915.0,33.53606514994829,2915.0,koderma
2025-01-03,bihar,843316,2495.0,33.52906806894537,2495.0,"sheohar, sitamarhi"
2025-01-03,jharkhand,825320,3493.0,33.49080072557658,3493.0,giridih
2025-01-03,andhrapradesh,533464,692.0,33.47007943512798,692.0,"eastgodavari, drbrambedkarkonaseema, kakinada"
2025-01-03,jharkhand,825315,986.0,33.434626671014016,986.0,"bokaro, hazaribagh"
2025-01-03,jammuandkashmir,182315,2399.0,33.36866075824717,2399.0,"reasi, udhampur, kishtwar"
2025-01-07,manipur,795134,2698.0,33.36781687734882,2698.0,"bishnupur, imphalwest, senapati"
2025-01-05,karnataka,562117,2881.0,33.360172344149724,2881.0,"ramanagar, bengalururural"
2025-01-03,rajasthan,311804,3750.0,33.35567198732789,3750.0,bhilwara
2025-01-03,jharkhand,816108,8382.0,33.29535398230088,8382.0,"sahibganj, deoghar"
2025-01-03,bihar,811315,1551.0,33.29486760379209,1551.0,"jamui, lakhisarai, sheikhpura"
2025-01-03,rajasthan,314035,2243.0,33.285986856052574,2243.0,dungarpur
2025-07-01,telangana,508246,1079.0,33.27790814616158,1079.0,"nalgonda, suryapet"
2025-01-03,jharkhand,815312,8482.0,33.27595967621791,8482.0,giridih
2025-01-03,telangana,509228,739.0,33.261047463175125,739.0,"mahabubnagar, rangareddy, kvrangareddy"
2025-01-03,andhrapradesh,531116,2160.0,33.252084669660036,2160.0,"anakapalli, visakhapatnam, allurisitharamaraju"
2025-01-03,meghalaya,794106,1548.0,33.24698991213798,1548.0,"southwestgarohills, westgarohills"
2025-01-03,bihar,852202,2100.0,33.1578947368421,2100.0,"madhepura, saharsa"
2025-01-07,haryana,122107,3178.0,33.084886429819456,3178.0,"mewat, rewari, gurgaon"
2025-01-03,telangana,508285,489.0,33.052372426141446,489.0,"nalgonda, yadadribhuvanagiri"
2025-01-03,rajasthan,326501,687.0,33.017195767195766,687.0,"jhalawar, kota"
2025-03-01,rajasthan,312901,2713.0,32.98881322957199,2713.0,chittorgarh
2025-01-03,maharashtra,412210,1570.0,32.95595320027529,1570.0,"pune, ahmednagar"
2025-01-06,tamilnadu,621704,1822.0,32.94605683026896,1822.0,"ariyalur, perambalur"
2025-01-03,rajasthan,326021,1619.0,32.94337953406075,1619.0,jhalawar
2025-01-03,westbengal,743425,2605.0,32.90031574199369,2605.0,"northtwentyfourparganas, southtwentyfourparganas"
2025-01-03,rajasthan,313605,4479.0,32.88429898275099,4479.0,"pratapgarh, udaipur"
2025-01-03,assam,784169,255.0,32.86536248561565,255.0,"biswanath, sonitpur"
2025-01-06,chhatisgarh,491441,15038.0,32.8349922018999,15038.0,rajnandgaon
2025-01-03,uttarpradesh,250626,820.0,32.77885235332044,820.0,"baghpat, meerut"
2025-01-03,telangana,506348,604.0,32.776605366294845,604.0,"jayashankarbhupalpally, warangal"
2025-01-03,bihar,854317,9776.0,32.76712328767123,9776.0,"katihar, purnia"
2025-01-03,rajasthan,312027,1105.0,32.75267249757045,1105.0,chittorgarh
2025-01-03,rajasthan,327608,786.0,32.75,786.0,banswara
2025-01-03,telangana,500030,618.0,32.73217854763491,618.0,"rangareddy, kvrangareddy"
2025-01-07,karnataka,560049,2052.0,32.73128834355828,2052.0,"bengalururural, bengaluruurban"
2025-01-06,telangana,500049,1801.0,32.730195712954334,1801.0,"hyderabad, medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-03,tamilnadu,604407,1518.0,32.72078968573731,1518.0,"tiruvannamalai, vellore"
2025-01-07,chhatisgarh,495115,6812.0,32.69174749135819,6812.0,"bilaspur, mungeli, balodabazar"
2025-01-03,chhatisgarh,491888,3623.0,32.65933692905367,3623.0,"kawardha, rajnandgaon, khairagarhchhuikhadangandai, bemetara"
2025-01-03,telangana,506347,518.0,32.65652173913043,518.0,"mulugu, warangal"
2025-01-03,bihar,844120,1943.0,32.622410097642295,1943.0,"muzaffarpur, vaishali"
2025-01-03,rajasthan,322219,1140.0,32.601476014760145,1140.0,"karauli, sawaimadhopur"
2025-01-03,mizoram,796012,1238.0,32.54002389486261,1238.0,aizawl
2025-01-03,rajasthan,305922,833.0,32.465941011235955,833.0,"ajmer, rajsamand"
2025-01-03,jharkhand,816106,5747.0,32.42443781736117,5747.0,pakur
2025-01-03,andhrapradesh,515303,340.0,32.41379310344828,340.0,"ananthapuram, srisathyasai"
2025-01-03,telangana,509382,1412.0,32.395935758767614,1412.0,"mahabubnagar, wanaparthy"
2025-01-03,uttarpradesh,231210,4929.0,32.37180386405662,4929.0,"mirzapur, sonbhadra"
2025-01-03,bihar,854333,5918.0,32.3636879202787,5918.0,"araria, kishanganj"
2025-01-03,assam,782485,833.0,32.3310502283105,833.0,"karbianglong, westkarbianglong"
2025-01-03,andhrapradesh,515671,2417.0,32.31226206285967,2417.0,"ananthapuram, srisathyasai"
2025-01-07,manipur,795114,2065.0,32.29688581314879,2065.0,"imphaleast, senapati"
2025-06-01,telangana,501141,1913.0,32.277840269966255,1913.0,"rangareddy, vikarabad, kvrangareddy, jayashankarbhupalpally"
2025-01-03,andhrapradesh,515281,682.0,32.26886969583177,682.0,"ananthapuram, srisathyasai"
2025-01-03,rajasthan,328022,5076.0,32.25567703952901,5076.0,"dholpur, bharatpur"
2025-01-03,rajasthan,313703,2760.0,32.2256152326208,2760.0,udaipur
2025-01-03,assam,781360,767.0,32.206422018348626,767.0,"baksa, tamulpur"
2025-01-03,mizoram,796770,1289.0,32.18174496644295,1289.0,"lawngtlai, lunglei"
2025-01-06,chhatisgarh,495224,5725.0,32.17296284733062,5725.0,"bilaspur, mungeli, janjgirchampa, bemetara"
2025-01-07,odisha,754004,1182.0,32.0879504683283,1182.0,"cuttack, khordha, puri"
2025-01-03,westbengal,700036,516.0,32.0566757493188,516.0,"northtwentyfourparganas, kolkata"
2025-01-03,rajasthan,326037,5482.0,32.0432859399684,5482.0,jhalawar
2025-01-03,bihar,847102,1619.0,32.04178119846069,1619.0,"darbhanga, madhubani"
2025-01-03,uttarpradesh,271855,5745.0,32.03254668049792,5745.0,"bahraich, kheri, shrawasti"
2025-01-03,andhrapradesh,515154,362.0,32.01551590380139,362.0,"ananthapuram, srisathyasai"
2025-01-03,bihar,803213,2842.0,32.0125156445557,2842.0,"nalanda, patna"
2025-01-03,jharkhand,825322,4593.0,32.004034106537084,4593.0,"giridih, bokaro"
2025-01-03,punjab,152132,932.0,31.99019307385841,932.0,"fazilka, ferozepur"
2025-01-03,mizoram,796001,3139.0,31.97840260798696,3139.0,aizawl
2025-01-03,telangana,509409,478.0,31.961669505962522,478.0,"mahabubnagar, narayanpet"
2025-01-03,bihar,841438,3593.0,31.946240358005063,3593.0,"gopalganj, siwan"
2025-01-03,bihar,854114,2415.0,31.945807552805633,2415.0,"katihar, purnia"
2025-01-03,bihar,843328,2056.0,31.94516165885982,2056.0,"muzaffarpur, sitamarhi"
2025-01-03,tamilnadu,614902,1036.0,31.922256458876507,1036.0,"pudukkottai, thanjavur"
2025-01-03,westbengal,700063,639.0,31.918081918081917,639.0,"southtwentyfourparganas, kolkata"
2025-03-01,telangana,509321,971.0,31.910798122065728,971.0,"mahabubnagar, rangareddy, kvrangareddy"
2025-01-04,andhrapradesh,518221,1449.0,31.88178258437442,1449.0,"kurnool, nandyal"
2025-01-03,rajasthan,313334,1811.0,31.85389305816135,1811.0,rajsamand
2025-01-03,jharkhand,815314,5522.0,31.850036049026677,5522.0,giridih
2025-01-03,tamilnadu,632102,668.0,31.84808080808081,668.0,"tiruvannamalai, vellore"
2025-01-03,bihar,841227,2019.0,31.839048811013768,2019.0,"gopalganj, siwan"
2025-01-03,uttarpradesh,202421,5845.0,31.81967874185093,5845.0,"sambhal, budaun"
2025-01-07,telangana,500064,3399.0,31.81177694007539,4.041617122473246,hyderabad
2025-01-07,telangana,505001,3966.0,31.80998008289821,3966.0,karimnagar
2025-01-03,jharkhand,828203,1547.0,31.80747663551402,1547.0,dhanbad
2025-01-03,rajasthan,314027,1953.0,31.742975206611572,1953.0,dungarpur
2025-01-03,telangana,500015,1037.0,31.717206411514557,1037.0,"hyderabad, medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-03,jharkhand,815315,2285.0,31.692094313453538,2285.0,giridih
2025-01-03,uttarpradesh,285205,2554.0,31.666701691709573,2554.0,"jalaun, jhansi"
2025-03-01,rajasthan,326035,1335.0,31.666666666666668,1335.0,jhalawar
2025-01-03,telangana,500097,1271.0,31.661149974407095,1271.0,"rangareddy, kvrangareddy"
