state,state_map,district,district_map
Bihar,Bihar,Gaya,Gaya
Bihar,Bihar,Gopalganj,Gopalganj
Bihar,Bihar,Jamui,Jamui
Bihar,Bihar,Jehanabad,Jehanabad
Bihar,Bihar,Kaimur (Bhabua),Kaimur
Bihar,Bihar,Katihar,Katihar
Bihar,Bihar,Khagaria,Khagaria
Bihar,Bihar,Kishanganj,Kishanganj
Bihar,Bihar,Lakhisarai,Lakhisarai
Bihar,Bihar,Madhepura,Madhepura
Bihar,Bihar,Madhubani,Madhubani
Bihar,Bihar,Monghyr,Munger
Bihar,Bihar,Munger,Munger
Bihar,Bihar,Muzaffarpur,Muzaffarpur
Bihar,Bihar,Nalanda,Nalanda
Bihar,Bihar,Nawada,Nawada
Bihar,Bihar,Pashchim Champaran,West Champaran
Bihar,Bihar,Patna,Patna
Bihar,Bihar,Purba Champaran,East Champaran
Bihar,Bihar,Purnea,Purnia
Bihar,Bihar,Purnia,Purnia
Bihar,Bihar,Rohtas,Rohtas
Bihar,Bihar,Saharsa,Saharsa
Bihar,Bihar,Samastipur,Samastipur
Bihar,Bihar,Samstipur,Samastipur
Bihar,Bihar,Saran,Saran
Bihar,Bihar,Sheikhpura,Sheikhpura
Bihar,Bihar,Sheikpura,Sheikhpura
Bihar,Bihar,Sheohar,Sheohar
Bihar,Bihar,Sitamarhi,Sitamarhi
Bihar,Bihar,Siwan,Siwan
Bihar,Bihar,Supaul,Supaul
Bihar,Bihar,Vaishali,Vaishali
Bihar,Bihar,West Champaran,West Champaran
Chandigarh,Chandigarh,Chandigarh,Chandigarh
Chandigarh,Punjab,Rupnagar,Rupnagar
Chhatisgarh,Chhatisgarh,Raipur,Raipur
Chhattisgarh,Chhatisgarh,Balod,Balod
Chhattisgarh,Chhatisgarh,Baloda Bazar,Baloda Bazar
Chhattisgarh,Chhatisgarh,Balrampur,Balrampur
Chhattisgarh,Chhatisgarh,Bastar,Bastar
Chhattisgarh,Chhatisgarh,Bemetara,Bemetara
Chhattisgarh,Chhatisgarh,Bijapur,Bijapur
Chhattisgarh,Chhatisgarh,Bilaspur,Bilaspur
Chhattisgarh,Chhatisgarh,Dakshin Bastar Dantewada,Dantewada
Chhattisgarh,Chhatisgarh,Dantewada,Dantewada
Chhattisgarh,Chhatisgarh,Dhamtari,Dhamtari
Chhattisgarh,Chhatisgarh,Durg,Durg
Chhattisgarh,Chhatisgarh,Gariyaband,Gariyaband
Chhattisgarh,Chhatisgarh,Gaurela-pendra-marwahi,Gaurela-pendra-marwahi
Chhattisgarh,Chhatisgarh,Janjgir - Champa,Janjgir - Champa
Chhattisgarh,Chhatisgarh,Janjgir Champa,Janjgir - Champa
Chhattisgarh,Chhatisgarh,Janjgir-champa,Janjgir - Champa
Chhattisgarh,Chhatisgarh,Jashpur,Jashpur
Chhattisgarh,Chhatisgarh,Kabeerdham,Kawardha
Chhattisgarh,Chhatisgarh,Kanker,Kanker
Chhattisgarh,Chhatisgarh,Kawardha,Kawardha
Chhattisgarh,Chhatisgarh,Khairagarh Chhuikhadan Gandai,Khairagarh Chhuikhadan Gandai
Chhattisgarh,Chhatisgarh,Kondagaon,Kondagaon
Chhattisgarh,Chhatisgarh,Korba,Korba
Chhattisgarh,Chhatisgarh,Koriya,Koriya
Chhattisgarh,Chhatisgarh,Mahasamund,Mahasamund
Chhattisgarh,Chhatisgarh,ManendragarhChirmiriBharatpur,ManendragarhChirmiriBharatpur
Chhattisgarh,Chhatisgarh,Manendragarh–Chirmiri–Bharatpur,ManendragarhChirmiriBharatpur
Chhattisgarh,Chhatisgarh,Mohalla-Manpur-Ambagarh Chowki,Mohla-Manpur-Ambagarh Chowki
Chhattisgarh,Chhatisgarh,Mohla-Manpur-Ambagarh Chouki,Mohla-Manpur-Ambagarh Chowki
Chhattisgarh,Chhatisgarh,Mungeli,Mungeli
Chhattisgarh,Chhatisgarh,Narayanpur,Narayanpur
Chhattisgarh,Chhatisgarh,Raigarh,Raigarh
Chhattisgarh,Chhatisgarh,Raipur,Raipur
Chhattisgarh,Chhatisgarh,Rajnandgaon,Rajnandgaon
Chhattisgarh,Chhatisgarh,Sakti,Sakti
Chhattisgarh,Chhatisgarh,Sarangarh-Bilaigarh,Sarangarh-Bilaigarh
Chhattisgarh,Chhatisgarh,Sukma,Sukma
Chhattisgarh,Chhatisgarh,Surajpur,Surajpur
Chhattisgarh,Chhatisgarh,Surguja,Surguja
Chhattisgarh,Chhatisgarh,Uttar Bastar Kanker,Kanker
Dadra & Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli,Dadra and Nagar Haveli
Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu
Daman & Diu,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman
Daman & Diu,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu
Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman
Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu
Delhi,Delhi,Central Delhi,Central Delhi
Delhi,Delhi,East Delhi,East Delhi
Delhi,Delhi,Najafgarh,South West Delhi
Delhi,Delhi,New Delhi,New Delhi
Delhi,Delhi,North Delhi,North Delhi
Delhi,Delhi,North East,North East Delhi
Delhi,Delhi,North East Delhi,North East Delhi
Delhi,Delhi,North West Delhi,North West Delhi
Delhi,Delhi,Shahdara,Shahdara
Delhi,Delhi,South Delhi,South Delhi
Delhi,Delhi,South East Delhi,South East Delhi
Delhi,Delhi,South West Delhi,South West Delhi
Delhi,Delhi,West Delhi,West Delhi
Goa,Goa,Bardez,North Goa
Goa,Goa,North Goa,North Goa
Goa,Goa,South Goa,South Goa
Goa,Goa,Tiswadi,North Goa
Gujarat,Gujarat,Ahmadabad,Ahmedabad
Gujarat,Gujarat,Ahmedabad,Ahmedabad
Gujarat,Gujarat,Amreli,Amreli
Gujarat,Gujarat,Anand,Anand
Gujarat,Gujarat,Arvalli,Aravalli
Gujarat,Gujarat,Banas Kantha,Banaskantha
Gujarat,Gujarat,Banaskantha,Banaskantha
Gujarat,Gujarat,Bharuch,Bharuch
Gujarat,Gujarat,Bhavnagar,Bhavnagar
Gujarat,Gujarat,Botad,Botad
Gujarat,Gujarat,Chhotaudepur,Chhota Udaipur
Gujarat,Gujarat,Dahod,Dahod
Gujarat,Gujarat,Devbhumi Dwarka,Devbhumi Dwarka
Gujarat,Gujarat,Dohad,Dahod
Gujarat,Gujarat,Gandhinagar,Gandhinagar
Gujarat,Gujarat,Gir Somnath,Gir Somnath
Gujarat,Gujarat,Jamnagar,Jamnagar
Gujarat,Gujarat,Junagadh,Junagadh
Gujarat,Gujarat,Kachchh,Kachchh
Gujarat,Gujarat,Kheda,Kheda
Gujarat,Gujarat,Mahesana,Mahesana
Gujarat,Gujarat,Mahisagar,Mahisagar
Gujarat,Gujarat,Morbi,Morbi
Gujarat,Gujarat,Narmada,Narmada
Gujarat,Gujarat,Navsari,Navsari
Gujarat,Gujarat,Panch Mahals,Panchmahal
Gujarat,Gujarat,Panchmahals,Panchmahal
Gujarat,Gujarat,Patan,Patan
Gujarat,Gujarat,Porbandar,Porbandar
Gujarat,Gujarat,Rajkot,Rajkot
Gujarat,Gujarat,Sabar Kantha,Sabarkantha
Gujarat,Gujarat,Sabarkantha,Sabarkantha
Gujarat,Gujarat,Surat,Surat
Gujarat,Gujarat,Surendra Nagar,Surendranagar
Gujarat,Gujarat,Surendranagar,Surendranagar
Gujarat,Gujarat,Tapi,Tapi
Gujarat,Gujarat,The Dangs,Dang
Gujarat,Gujarat,Vadodara,Vadodara
Gujarat,Gujarat,Valsad,Valsad
Haryana,Haryana,Ambala,Ambala
Haryana,Haryana,Bhiwani,Bhiwani
Haryana,Haryana,Charkhi Dadri,Charkhi Dadri
Haryana,Haryana,Faridabad,Faridabad
Haryana,Haryana,Fatehabad,Fatehabad
Haryana,Haryana,Gurgaon,Gurgaon
Haryana,Haryana,Hisar,Hisar
Haryana,Haryana,Jhajjar,Jhajjar
Haryana,Haryana,Jind,Jind
Haryana,Haryana,Kaithal,Kaithal
Haryana,Haryana,Karnal,Karnal
Haryana,Haryana,Kurukshetra,Kurukshetra
Haryana,Haryana,Mahendragarh,Mahendragarh
Haryana,Haryana,Mewat,Mewat
Haryana,Haryana,Palwal,Palwal
Haryana,Haryana,Panchkula,Panchkula
Haryana,Haryana,Panipat,Panipat
Haryana,Haryana,Rewari,Rewari
Haryana,Haryana,Rohtak,Rohtak
Haryana,Haryana,Sirsa,Sirsa
Haryana,Haryana,Sonipat,Sonipat
Haryana,Haryana,Yamuna Nagar,Yamunanagar
Haryana,Haryana,Yamunanagar,Yamunanagar
Himachal Pradesh,Himachal Pradesh,Bilaspur,Bilaspur
Himachal Pradesh,Himachal Pradesh,Chamba,Chamba
Himachal Pradesh,Himachal Pradesh,Hamirpur,Hamirpur
Himachal Pradesh,Himachal Pradesh,Kangra,Kangra
Himachal Pradesh,Himachal Pradesh,Kinnaur,Kinnaur
Himachal Pradesh,Himachal Pradesh,Kullu,Kullu
Himachal Pradesh,Himachal Pradesh,Lahaul and Spiti,Lahaul and Spiti
Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahaul and Spiti
Himachal Pradesh,Himachal Pradesh,Lahul and Spiti,Lahaul and Spiti
Himachal Pradesh,Himachal Pradesh,Mandi,Mandi
Himachal Pradesh,Himachal Pradesh,Shimla,Shimla
Himachal Pradesh,Himachal Pradesh,Sirmaur,Sirmaur
Himachal Pradesh,Himachal Pradesh,Solan,Solan
Himachal Pradesh,Himachal Pradesh,Una,Una
Jammu & Kashmir,Jammu and Kashmir,Baramula,Baramula
Jammu & Kashmir,Jammu and Kashmir,Doda,Doda
Jammu & Kashmir,Jammu and Kashmir,Jammu,Jammu
Jammu & Kashmir,Ladakh,Kargil,Kargil
Jammu & Kashmir,Jammu and Kashmir,Kathua,Kathua
Jammu & Kashmir,Ladakh,Leh (ladakh),Leh
Jammu & Kashmir,Jammu and Kashmir,Rajauri,Rajouri
Jammu & Kashmir,Jammu and Kashmir,Srinagar,Srinagar
Jammu & Kashmir,Jammu and Kashmir,Udhampur,Udhampur
Jammu and Kashmir,Jammu and Kashmir,Anantnag,Anantnag
Jammu and Kashmir,Jammu and Kashmir,Badgam,Budgam
Jammu and Kashmir,Jammu and Kashmir,Bandipore,Bandipore
Jammu and Kashmir,Jammu and Kashmir,Baramula,Baramula
Jammu and Kashmir,Jammu and Kashmir,Budgam,Budgam
Jammu and Kashmir,Jammu and Kashmir,Doda,Doda
Jammu and Kashmir,Jammu and Kashmir,Ganderbal,Ganderbal
Jammu and Kashmir,Jammu and Kashmir,Jammu,Jammu
Jammu and Kashmir,Ladakh,Kargil,Kargil
Jammu and Kashmir,Jammu and Kashmir,Kathua,Kathua
Jammu and Kashmir,Jammu and Kashmir,Kishtwar,Kishtwar
Jammu and Kashmir,Jammu and Kashmir,Kulgam,Kulgam
Jammu and Kashmir,Jammu and Kashmir,Kupwara,Kupwara
Jammu and Kashmir,Ladakh,Leh,Leh
Jammu and Kashmir,Jammu and Kashmir,Pulwama,Pulwama
Jammu and Kashmir,Jammu and Kashmir,Punch,Poonch
Jammu and Kashmir,Jammu and Kashmir,Rajouri,Rajouri
Jammu and Kashmir,Jammu and Kashmir,Ramban,Ramban
Jammu and Kashmir,Jammu and Kashmir,Reasi,Reasi
Jammu and Kashmir,Jammu and Kashmir,Samba,Samba
Jammu and Kashmir,Jammu and Kashmir,Shupiyan,Shopian
Jammu and Kashmir,Jammu and Kashmir,Srinagar,Srinagar
Jammu and Kashmir,Jammu and Kashmir,Udhampur,Udhampur
Jharkhand,Jharkhand,Bokaro,Bokaro
Jharkhand,Jharkhand,Chatra,Chatra
Jharkhand,Jharkhand,Deoghar,Deoghar
Jharkhand,Jharkhand,Dhanbad,Dhanbad
Jharkhand,Jharkhand,Dumka,Dumka
Jharkhand,Jharkhand,East Singhbhum,East Singhbhum
Jharkhand,Jharkhand,Garhwa,Garhwa
Jharkhand,Jharkhand,Garhwa *,Garhwa
Jharkhand,Jharkhand,Giridih,Giridih
Jharkhand,Jharkhand,Godda,Godda
Jharkhand,Jharkhand,Gumla,Gumla
Jharkhand,Jharkhand,Hazaribag,Hazaribagh
Jharkhand,Jharkhand,Hazaribagh,Hazaribagh
Jharkhand,Jharkhand,Jamtara,Jamtara
Jharkhand,Jharkhand,Khunti,Khunti
Jharkhand,Jharkhand,Kodarma,Koderma
Jharkhand,Jharkhand,Koderma,Koderma
Jharkhand,Jharkhand,Latehar,Latehar
Jharkhand,Jharkhand,Lohardaga,Lohardaga
Jharkhand,Jharkhand,Pakaur,Pakur
Jharkhand,Jharkhand,Pakur,Pakur
Jharkhand,Jharkhand,Palamau,Palamu
Jharkhand,Jharkhand,Palamu,Palamu
Jharkhand,Jharkhand,Pashchimi Singhbhum,West Singhbhum
Jharkhand,Jharkhand,Purbi Singhbhum,East Singhbhum
Jharkhand,Jharkhand,Ramgarh,Ramgarh
Jharkhand,Jharkhand,Ranchi,Ranchi
Jharkhand,Jharkhand,Sahebganj,Sahibganj
Jharkhand,Jharkhand,Sahibganj,Sahibganj
Jharkhand,Jharkhand,Seraikela-Kharsawan,Seraikela-Kharsawan
Jharkhand,Jharkhand,Simdega,Simdega
Jharkhand,Jharkhand,West Singhbhum,West Singhbhum
Karnataka,Karnataka,Bagalkot,Bagalkot
Karnataka,Karnataka,Bagalkot *,Bagalkot
Karnataka,Karnataka,Ballari,Ballari
Karnataka,Karnataka,Bangalore,Bengaluru Urban
Karnataka,Karnataka,Bangalore Rural,Bengaluru Rural
Karnataka,Karnataka,Belagavi,Belagavi
Karnataka,Karnataka,Belgaum,Belagavi
Karnataka,Karnataka,Bellary,Ballari
Karnataka,Karnataka,Bengaluru,Bengaluru Urban
Karnataka,Karnataka,Bengaluru Rural,Bengaluru Rural
Karnataka,Karnataka,Bengaluru South,Ramanagar
Karnataka,Karnataka,Bidar,Bidar
Karnataka,Karnataka,Bijapur,Vijayapura
Karnataka,Karnataka,Bijapur(KAR),Vijayapura
Karnataka,Karnataka,Chamarajanagar,Chamarajanagar
Karnataka,Karnataka,Chamarajanagar *,Chamarajanagar
Karnataka,Karnataka,Chamrajanagar,Chamarajanagar
Karnataka,Karnataka,Chamrajnagar,Chamarajanagar
Karnataka,Karnataka,Chickmagalur,Chikkamagaluru
Karnataka,Karnataka,Chikkaballapur,Chikkaballapur
Karnataka,Karnataka,Chikkamagaluru,Chikkamagaluru
Karnataka,Karnataka,Chikmagalur,Chikkamagaluru
Karnataka,Karnataka,Chitradurga,Chitradurga
Karnataka,Karnataka,Dakshina Kannada,Dakshina Kannada
Karnataka,Karnataka,Davanagere,Davanagere
Karnataka,Karnataka,Davangere,Davanagere
Karnataka,Karnataka,Dharwad,Dharwad
Karnataka,Karnataka,Gadag,Gadag
Karnataka,Karnataka,Gadag *,Gadag
Karnataka,Karnataka,Gulbarga,Kalaburagi
Karnataka,Karnataka,Hasan,Hassan
Karnataka,Karnataka,Hassan,Hassan
Karnataka,Karnataka,Haveri,Haveri
Karnataka,Karnataka,Haveri *,Haveri
Karnataka,Karnataka,Kalaburagi,Kalaburagi
Karnataka,Karnataka,Kodagu,Kodagu
Karnataka,Karnataka,Kolar,Kolar
Karnataka,Karnataka,Koppal,Koppal
Karnataka,Karnataka,Mandya,Mandya
Karnataka,Karnataka,Mysore,Mysuru
Karnataka,Karnataka,Mysuru,Mysuru
Karnataka,Karnataka,Raichur,Raichur
Karnataka,Karnataka,Ramanagar,Ramanagar
Karnataka,Karnataka,Shimoga,Shivamogga
Karnataka,Karnataka,Shivamogga,Shivamogga
Karnataka,Karnataka,Tumakuru,Tumakuru
Karnataka,Karnataka,Tumkur,Tumakuru
Karnataka,Karnataka,Udupi,Udupi
Karnataka,Karnataka,Udupi *,Udupi
Karnataka,Karnataka,Uttara Kannada,Uttara Kannada
Karnataka,Karnataka,Vijayanagara,Vijayanagara
Karnataka,Karnataka,Vijayapura,Vijayapura
Karnataka,Karnataka,Yadgir,Yadgir
Kerala,Kerala,Alappuzha,Alappuzha
Kerala,Kerala,Ernakulam,Ernakulam
Kerala,Kerala,Idukki,Idukki
Kerala,Kerala,Kannur,Kannur
Kerala,Kerala,Kasaragod,Kasaragod
Kerala,Kerala,Kasargod,Kasaragod
Kerala,Kerala,Kollam,Kollam
Kerala,Kerala,Kottayam,Kottayam
Kerala,Kerala,Kozhikode,Kozhikode
Kerala,Kerala,Malappuram,Malappuram
Kerala,Kerala,Palakkad,Palakkad
Kerala,Kerala,Pathanamthitta,Pathanamthitta
Kerala,Kerala,Thiruvananthapuram,Thiruvananthapuram
Kerala,Kerala,Thrissur,Thrissur
Kerala,Kerala,Wayanad,Wayanad
Ladakh,Ladakh,Kargil,Kargil
Ladakh,Ladakh,Leh,Leh
Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep
Madhya Pradesh,Madhya Pradesh,Agar Malwa,Agar Malwa
Madhya Pradesh,Madhya Pradesh,Alirajpur,Alirajpur
Madhya Pradesh,Madhya Pradesh,Anuppur,Anuppur
Madhya Pradesh,Madhya Pradesh,Ashok Nagar,Ashok Nagar
Madhya Pradesh,Madhya Pradesh,Balaghat,Balaghat
Madhya Pradesh,Madhya Pradesh,Barwani,Barwani
Madhya Pradesh,Madhya Pradesh,Betul,Betul
Madhya Pradesh,Madhya Pradesh,Bhind,Bhind
Madhya Pradesh,Madhya Pradesh,Bhopal,Bhopal
Madhya Pradesh,Madhya Pradesh,Burhanpur,Burhanpur
Madhya Pradesh,Madhya Pradesh,Chhatarpur,Chhatarpur
Madhya Pradesh,Madhya Pradesh,Chhindwara,Chhindwara
Madhya Pradesh,Madhya Pradesh,Damoh,Damoh
Madhya Pradesh,Madhya Pradesh,Datia,Datia
Madhya Pradesh,Madhya Pradesh,Dewas,Dewas
Madhya Pradesh,Madhya Pradesh,Dhar,Dhar
Madhya Pradesh,Madhya Pradesh,Dindori,Dindori
Madhya Pradesh,Madhya Pradesh,East Nimar,Khandwa
Madhya Pradesh,Madhya Pradesh,Guna,Guna
Madhya Pradesh,Madhya Pradesh,Gwalior,Gwalior
Madhya Pradesh,Madhya Pradesh,Harda,Harda
Madhya Pradesh,Madhya Pradesh,Harda *,Harda
Madhya Pradesh,Madhya Pradesh,Hoshangabad,Narmadapuram
Madhya Pradesh,Madhya Pradesh,Indore,Indore
Madhya Pradesh,Madhya Pradesh,Jabalpur,Jabalpur
Madhya Pradesh,Madhya Pradesh,Jhabua,Jhabua
Madhya Pradesh,Madhya Pradesh,Katni,Katni
Madhya Pradesh,Madhya Pradesh,Khandwa,Khandwa
Madhya Pradesh,Madhya Pradesh,Khargone,Khargone
Madhya Pradesh,Madhya Pradesh,Maihar,Maihar
Madhya Pradesh,Madhya Pradesh,Mandla,Mandla
Madhya Pradesh,Madhya Pradesh,Mandsaur,Mandsaur
Madhya Pradesh,Madhya Pradesh,Mauganj,Mauganj
Madhya Pradesh,Madhya Pradesh,Morena,Morena
Madhya Pradesh,Madhya Pradesh,Narmadapuram,Narmadapuram
Madhya Pradesh,Madhya Pradesh,Narsimhapur,Narsinghpur
Madhya Pradesh,Madhya Pradesh,Narsinghpur,Narsinghpur
Madhya Pradesh,Madhya Pradesh,Neemuch,Neemuch
Madhya Pradesh,Madhya Pradesh,Niwari,Niwari
Madhya Pradesh,Madhya Pradesh,Pandhurna,Pandhurna
Madhya Pradesh,Madhya Pradesh,Panna,Panna
Madhya Pradesh,Madhya Pradesh,Raisen,Raisen
Madhya Pradesh,Madhya Pradesh,Rajgarh,Rajgarh
Madhya Pradesh,Madhya Pradesh,Ratlam,Ratlam
Madhya Pradesh,Madhya Pradesh,Rewa,Rewa
Madhya Pradesh,Madhya Pradesh,Sagar,Sagar
Madhya Pradesh,Madhya Pradesh,Satna,Satna
